InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536406,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2011-07-05 00:37,3.39,18363,United Kingdom
536407,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2011-02-10 00:17,3.39,18528,Netherlands
536408,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2011-08-08 09:51,2.55,17191,United Kingdom
536409,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-03-23 20:55,4.25,18938,Netherlands
536410,71053,WHITE METAL LANTERN,3,2011-04-13 01:17,3.39,14904,United Kingdom
536411,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-08-03 22:13,3.39,13363,Australia
536412,71053,WHITE METAL LANTERN,19,2011-08-09 03:47,3.39,12698,United Kingdom
536413,47566,PARTY BUNTING,8,2011-02-05 12:38,4.95,18413,Germany
536414,71053,WHITE METAL LANTERN,19,2011-07-22 23:10,3.39,16887,United Kingdom
536415,84029E,RED WOOLLY HOTTIE WHITE HEART,18,2011-10-10 04:48,3.39,13955,Germany
536416,22632,HAND WARMER RED POLKA DOT,4,2011-02-12 06:06,1.85,16891,United Kingdom
536417,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,18,2011-04-21 06:38,3.39,16551,United Kingdom
536418,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-05-11 11:00,3.39,15314,United Kingdom
536419,84406B,CREAM CUPID HEARTS COAT HANGER,9,2011-01-15 14:19,2.75,18546,France
536420,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16,2011-04-19 00:49,3.39,16744,United Kingdom
536421,84406B,CREAM CUPID HEARTS COAT HANGER,17,2011-05-23 10:03,2.75,18439,United Kingdom
536422,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-05-03 05:40,2.75,16218,United Kingdom
536423,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,19,2011-02-12 06:06,3.39,12804,United Kingdom
536424,22632,HAND WARMER RED POLKA DOT,4,2011-01-11 20:37,1.85,18164,United Kingdom
536425,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-10-12 10:37,4.25,17279,United Kingdom
536426,47566,PARTY BUNTING,5,2011-05-24 21:55,4.95,17134,France
536427,71053,WHITE METAL LANTERN,15,2011-10-26 15:29,3.39,13585,United Kingdom
536428,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-04-04 19:57,2.55,17734,United Kingdom
536429,47566,PARTY BUNTING,9,2010-12-03 23:45,4.95,12659,United Kingdom
536430,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-07-28 04:45,3.39,12200,United Kingdom
536431,22752,SET 7 BABUSHKA NESTING BOXES,17,2011-07-06 12:30,7.65,16744,United Kingdom
536432,22752,SET 7 BABUSHKA NESTING BOXES,19,2011-04-30 05:54,7.65,13722,United Kingdom
536433,47566,PARTY BUNTING,19,2011-04-08 13:39,4.95,12975,United Kingdom
536434,71053,WHITE METAL LANTERN,8,2011-08-17 09:08,3.39,12860,United Kingdom
536435,22632,HAND WARMER RED POLKA DOT,17,2011-01-02 03:24,1.85,17463,Australia
536436,84029E,RED WOOLLY HOTTIE WHITE HEART,16,2011-05-20 10:17,3.39,13282,Sweden
536437,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-09-26 17:53,3.39,17991,Australia
536438,22632,HAND WARMER RED POLKA DOT,17,2010-12-01 00:00,1.85,15444,United Kingdom
536439,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-11-08 08:27,3.39,12804,United Kingdom
536440,47566,PARTY BUNTING,16,2011-03-01 10:43,4.95,12502,United Kingdom
536441,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2010-12-21 04:22,3.39,14625,United Kingdom
536442,84029E,RED WOOLLY HOTTIE WHITE HEART,9,2011-10-30 09:11,3.39,15304,Belgium
536443,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-05-28 15:37,2.55,17864,United Kingdom
536444,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-04-26 12:12,2.75,17225,United Kingdom
536445,22632,HAND WARMER RED POLKA DOT,2,2011-05-30 03:30,1.85,17334,Netherlands
536446,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-05-27 21:41,3.39,13363,United Kingdom
536447,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2011-08-12 21:29,2.55,13794,United Kingdom
536448,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2011-09-14 00:54,2.55,13275,United Kingdom
536449,84029E,RED WOOLLY HOTTIE WHITE HEART,16,2011-04-26 12:12,3.39,15092,United Kingdom
536450,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-11-27 18:54,3.39,17535,United Kingdom
536451,84029E,RED WOOLLY HOTTIE WHITE HEART,5,2011-03-18 15:20,3.39,17592,Germany
536452,84029E,RED WOOLLY HOTTIE WHITE HEART,14,2011-05-02 11:44,3.39,12860,Australia
536453,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-02-09 06:20,3.39,13986,United Kingdom
536454,22633,HAND WARMER UNION JACK,7,2011-10-23 15:43,1.85,15840,United Kingdom
536455,22752,SET 7 BABUSHKA NESTING BOXES,3,2011-05-25 15:52,7.65,16389,United Kingdom
536456,84029E,RED WOOLLY HOTTIE WHITE HEART,17,2011-09-30 11:35,3.39,17276,United Kingdom
536457,84029E,RED WOOLLY HOTTIE WHITE HEART,14,2011-02-15 05:52,3.39,18235,United Kingdom
536458,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-08-09 21:44,7.65,13843,United Kingdom
536459,84406B,CREAM CUPID HEARTS COAT HANGER,2,2011-11-18 01:41,2.75,17855,United Kingdom
536460,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-07-01 06:55,4.25,15890,United Kingdom
536461,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,2011-06-22 07:38,3.39,15157,Germany
536462,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2011-11-01 15:00,3.39,12474,United Kingdom
536463,84406B,CREAM CUPID HEARTS COAT HANGER,15,2011-08-08 09:51,2.75,17855,United Kingdom
536464,22752,SET 7 BABUSHKA NESTING BOXES,16,2011-09-16 06:44,7.65,18265,United Kingdom
536465,22633,HAND WARMER UNION JACK,3,2011-03-29 20:26,1.85,15627,United Kingdom
536466,71053,WHITE METAL LANTERN,19,2011-02-07 00:31,3.39,15272,United Kingdom
536467,47566,PARTY BUNTING,6,2010-12-09 05:20,4.95,12860,United Kingdom
536468,47566,PARTY BUNTING,14,2011-05-12 04:57,4.95,12474,United Kingdom
536469,22632,HAND WARMER RED POLKA DOT,15,2011-01-11 02:41,1.85,13495,United Kingdom
536470,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2011-08-22 14:43,2.55,17791,United Kingdom
536471,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15,2010-12-10 17:13,3.39,16514,Netherlands
536472,47566,PARTY BUNTING,14,2011-03-25 08:48,4.95,17530,United Kingdom
536473,22633,HAND WARMER UNION JACK,19,2011-09-30 11:35,1.85,17734,United Kingdom
536474,71053,WHITE METAL LANTERN,6,2011-04-22 18:31,3.39,13495,United Kingdom
536475,22632,HAND WARMER RED POLKA DOT,5,2011-10-25 21:32,1.85,16555,United Kingdom
536476,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2011-07-12 12:01,2.55,18545,United Kingdom
536477,22632,HAND WARMER RED POLKA DOT,17,2011-01-20 01:58,1.85,18231,United Kingdom
536478,47566,PARTY BUNTING,3,2011-02-21 05:23,4.95,18585,United Kingdom
536479,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15,2011-10-13 04:34,3.39,12474,United Kingdom
536480,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-02-13 17:59,2.55,15843,United Kingdom
536481,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-10-22 21:47,7.65,15763,Netherlands
536482,22752,SET 7 BABUSHKA NESTING BOXES,6,2010-12-03 05:49,7.65,12775,United Kingdom
536483,22633,HAND WARMER UNION JACK,9,2010-12-23 10:11,1.85,17685,United Kingdom
536484,22633,HAND WARMER UNION JACK,5,2010-12-04 17:41,1.85,14558,Sweden
536485,71053,WHITE METAL LANTERN,11,2011-02-26 10:57,3.39,17191,United Kingdom
536486,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-08-07 15:55,2.55,14041,Netherlands
536487,22633,HAND WARMER UNION JACK,19,2011-07-31 22:27,1.85,18628,United Kingdom
536488,47566,PARTY BUNTING,4,2010-12-15 04:51,4.95,18287,United Kingdom
536489,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-03-16 09:31,2.55,18975,United Kingdom
536490,22752,SET 7 BABUSHKA NESTING BOXES,5,2011-08-06 04:02,7.65,15104,Netherlands
536491,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-06-13 08:22,2.75,16636,United Kingdom
536492,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-04-04 19:57,4.25,13757,United Kingdom
536493,71053,WHITE METAL LANTERN,1,2011-06-16 08:07,3.39,18863,United Kingdom
536494,22633,HAND WARMER UNION JACK,6,2011-01-20 19:54,1.85,16911,United Kingdom
536495,71053,WHITE METAL LANTERN,14,2011-11-26 07:01,3.39,17959,United Kingdom
536496,84406B,CREAM CUPID HEARTS COAT HANGER,1,2011-01-14 02:27,2.75,14976,United Kingdom
536497,22633,HAND WARMER UNION JACK,11,2011-07-02 00:51,1.85,15763,United Kingdom
536498,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-01-27 13:22,2.75,15772,United Kingdom
536499,47566,PARTY BUNTING,4,2011-02-04 18:42,4.95,12161,Germany
536500,71053,WHITE METAL LANTERN,8,2011-07-03 12:44,3.39,12488,United Kingdom
536501,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-11-24 19:08,2.75,14433,United Kingdom
536502,22632,HAND WARMER RED POLKA DOT,17,2011-11-01 15:00,1.85,15743,United Kingdom
536503,84029E,RED WOOLLY HOTTIE WHITE HEART,8,2011-10-21 09:54,3.39,13076,United Kingdom
536504,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-11-06 02:38,7.65,17486,United Kingdom
536505,47566,PARTY BUNTING,15,2011-12-09 00:00,4.95,12492,United Kingdom
536506,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-02-10 18:13,4.25,18910,United Kingdom
536507,84029E,RED WOOLLY HOTTIE WHITE HEART,1,2011-07-28 22:42,3.39,17172,United Kingdom
536508,47566,PARTY BUNTING,5,2011-02-26 10:57,4.95,17618,United Kingdom
536509,22752,SET 7 BABUSHKA NESTING BOXES,13,2011-08-30 02:06,7.65,12870,United Kingdom
536510,22633,HAND WARMER UNION JACK,15,2011-03-27 14:37,1.85,18910,United Kingdom
536511,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,12,2011-02-09 06:20,3.39,18628,United Kingdom
536512,84406B,CREAM CUPID HEARTS COAT HANGER,19,2011-06-29 19:02,2.75,14911,United Kingdom
536513,84029E,RED WOOLLY HOTTIE WHITE HEART,11,2010-12-28 15:46,3.39,17172,France
536514,22752,SET 7 BABUSHKA NESTING BOXES,8,2011-07-13 23:54,7.65,14433,United Kingdom
536515,47566,PARTY BUNTING,13,2011-11-18 19:37,4.95,13076,United Kingdom
536516,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,2011-11-09 02:24,2.55,13076,Germany
536517,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16,2011-08-02 10:20,3.39,18184,Netherlands
536518,47566,PARTY BUNTING,17,2011-09-20 00:25,4.95,12995,United Kingdom
536519,22752,SET 7 BABUSHKA NESTING BOXES,19,2011-07-10 06:12,7.65,15385,United Kingdom
536520,22752,SET 7 BABUSHKA NESTING BOXES,11,2011-09-28 23:42,7.65,17791,United Kingdom
536521,47566,PARTY BUNTING,14,2010-12-01 00:00,4.95,13722,United Kingdom
536522,22752,SET 7 BABUSHKA NESTING BOXES,19,2011-07-19 05:28,7.65,13570,United Kingdom
536523,22632,HAND WARMER RED POLKA DOT,10,2011-07-05 18:33,1.85,17463,United Kingdom
536524,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,11,2011-05-06 05:26,3.39,13843,United Kingdom
536525,71053,WHITE METAL LANTERN,17,2011-08-29 08:10,3.39,18432,United Kingdom
536526,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-08-14 09:22,2.75,18668,United Kingdom
536527,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2011-03-22 09:02,2.55,18051,United Kingdom
536528,47566,PARTY BUNTING,18,2011-02-01 01:00,4.95,15202,United Kingdom
536529,22632,HAND WARMER RED POLKA DOT,17,2011-11-21 01:26,1.85,14773,United Kingdom
536530,22633,HAND WARMER UNION JACK,17,2011-11-22 13:19,1.85,17791,United Kingdom
536531,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,2011-03-28 08:33,4.25,17068,United Kingdom
536532,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-12-14 10:55,2.55,18546,United Kingdom
536533,71053,WHITE METAL LANTERN,1,2011-12-07 12:07,3.39,15073,United Kingdom
536534,71053,WHITE METAL LANTERN,17,2011-10-21 09:54,3.39,15884,United Kingdom
536535,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2011-08-25 14:28,3.39,15255,Germany
536536,84406B,CREAM CUPID HEARTS COAT HANGER,10,2011-02-03 06:49,2.75,12206,United Kingdom
536537,21730,GLASS STAR FROSTED T-LIGHT HOLDER,18,2011-06-02 21:12,4.25,18265,United Kingdom
536538,84406B,CREAM CUPID HEARTS COAT HANGER,8,2011-05-20 10:17,2.75,14888,United Kingdom
536539,84406B,CREAM CUPID HEARTS COAT HANGER,19,2011-06-15 14:11,2.75,15798,United Kingdom
536540,71053,WHITE METAL LANTERN,3,2011-07-03 12:44,3.39,16551,Belgium
536541,22633,HAND WARMER UNION JACK,14,2011-09-23 18:07,1.85,13484,United Kingdom
536542,21730,GLASS STAR FROSTED T-LIGHT HOLDER,16,2011-03-30 14:22,4.25,17734,United Kingdom
536543,21730,GLASS STAR FROSTED T-LIGHT HOLDER,19,2010-12-27 03:53,4.25,17276,United Kingdom
536544,71053,WHITE METAL LANTERN,2,2011-05-24 03:59,3.39,13981,United Kingdom
536545,71053,WHITE METAL LANTERN,3,2011-06-13 08:22,3.39,14027,United Kingdom
536546,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-05-18 04:28,3.39,14777,United Kingdom
536547,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-03-28 08:33,3.39,15397,United Kingdom
536548,22633,HAND WARMER UNION JACK,14,2011-05-05 11:29,1.85,17575,United Kingdom
536549,71053,WHITE METAL LANTERN,19,2010-12-30 03:39,3.39,18776,United Kingdom
536550,71053,WHITE METAL LANTERN,13,2011-06-02 03:16,3.39,14511,United Kingdom
536551,22752,SET 7 BABUSHKA NESTING BOXES,11,2010-12-21 22:18,7.65,17191,United Kingdom
536552,71053,WHITE METAL LANTERN,5,2011-03-05 22:21,3.39,13955,United Kingdom
536553,84029E,RED WOOLLY HOTTIE WHITE HEART,10,2010-12-12 23:02,3.39,12189,United Kingdom
536554,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2011-08-27 20:17,3.39,13585,United Kingdom
536555,22752,SET 7 BABUSHKA NESTING BOXES,6,2011-06-18 13:56,7.65,15748,United Kingdom
536556,22632,HAND WARMER RED POLKA DOT,7,2011-11-15 19:51,1.85,18628,United Kingdom
536557,47566,PARTY BUNTING,14,2011-07-19 23:25,4.95,14612,United Kingdom
536558,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,2011-06-29 01:06,2.55,17279,United Kingdom
536559,84029E,RED WOOLLY HOTTIE WHITE HEART,11,2011-04-01 20:12,3.39,14976,United Kingdom
536560,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2011-02-11 12:10,2.55,17616,United Kingdom
536561,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2011-01-20 19:54,4.25,17581,Netherlands
536562,22633,HAND WARMER UNION JACK,1,2011-03-20 21:09,1.85,18528,United Kingdom
536563,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-10-29 15:14,2.75,16097,United Kingdom
536564,71053,WHITE METAL LANTERN,9,2011-01-23 19:40,3.39,15840,United Kingdom
536565,22632,HAND WARMER RED POLKA DOT,8,2011-01-14 20:23,1.85,12130,United Kingdom
536566,22633,HAND WARMER UNION JACK,10,2011-03-08 04:11,1.85,17051,United Kingdom
536567,71053,WHITE METAL LANTERN,5,2011-11-22 13:19,3.39,16859,United Kingdom
536568,22752,SET 7 BABUSHKA NESTING BOXES,2,2011-01-02 03:24,7.65,17578,United Kingdom
536569,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2011-07-14 17:50,2.55,14435,United Kingdom
536570,22633,HAND WARMER UNION JACK,19,2011-01-29 19:11,1.85,15255,United Kingdom
536571,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2011-11-13 14:02,4.25,17450,Belgium
536572,22632,HAND WARMER RED POLKA DOT,12,2011-11-30 18:39,1.85,17847,United Kingdom
536573,47566,PARTY BUNTING,15,2011-04-28 00:05,4.95,13986,United Kingdom
536574,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2010-12-05 11:38,2.55,14931,United Kingdom
536575,22632,HAND WARMER RED POLKA DOT,19,2011-07-23 17:07,1.85,13678,United Kingdom
536576,21730,GLASS STAR FROSTED T-LIGHT HOLDER,18,2011-10-12 10:37,4.25,13998,Germany
536577,84406B,CREAM CUPID HEARTS COAT HANGER,18,2011-03-29 02:30,2.75,12878,United Kingdom
536578,22633,HAND WARMER UNION JACK,3,2011-02-11 12:10,1.85,16859,United Kingdom
536579,84406B,CREAM CUPID HEARTS COAT HANGER,5,2011-04-16 01:03,2.75,18019,United Kingdom
536580,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-12-06 18:10,4.25,12975,United Kingdom
536581,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,13,2011-12-03 18:25,3.39,14675,United Kingdom
536582,47566,PARTY BUNTING,12,2011-10-05 17:10,4.95,13495,Germany
536583,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-02-10 00:17,4.25,14454,United Kingdom
536584,84406B,CREAM CUPID HEARTS COAT HANGER,7,2011-11-21 19:22,2.75,15385,United Kingdom
536585,84029E,RED WOOLLY HOTTIE WHITE HEART,12,2011-05-25 15:52,3.39,17915,United Kingdom
536586,22632,HAND WARMER RED POLKA DOT,10,2010-12-02 11:52,1.85,13363,United Kingdom
536587,22633,HAND WARMER UNION JACK,18,2011-03-24 14:51,1.85,14731,United Kingdom
536588,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,2011-09-08 01:23,2.55,18349,United Kingdom
536589,22633,HAND WARMER UNION JACK,4,2011-07-07 06:26,1.85,16598,Australia
536590,84029E,RED WOOLLY HOTTIE WHITE HEART,11,2011-07-26 16:52,3.39,17450,Belgium
536591,22633,HAND WARMER UNION JACK,11,2011-03-24 14:51,1.85,14041,United Kingdom
536592,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2011-08-18 03:04,4.25,14363,United Kingdom
536593,22752,SET 7 BABUSHKA NESTING BOXES,19,2011-05-12 04:57,7.65,18360,United Kingdom
536594,22632,HAND WARMER RED POLKA DOT,17,2010-12-03 23:45,1.85,17535,United Kingdom
536595,84029E,RED WOOLLY HOTTIE WHITE HEART,15,2011-02-12 06:06,3.39,17575,France
536596,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,17,2011-10-09 10:52,3.39,12241,United Kingdom
536597,71053,WHITE METAL LANTERN,18,2010-12-02 11:52,3.39,14041,Sweden
536598,84406B,CREAM CUPID HEARTS COAT HANGER,6,2011-12-05 06:18,2.75,14327,United Kingdom
536599,22632,HAND WARMER RED POLKA DOT,9,2011-02-11 12:10,1.85,13478,United Kingdom
536600,22632,HAND WARMER RED POLKA DOT,3,2011-03-12 15:49,1.85,17618,United Kingdom
536601,84406B,CREAM CUPID HEARTS COAT HANGER,2,2010-12-30 03:39,2.75,16191,United Kingdom
536602,22632,HAND WARMER RED POLKA DOT,5,2011-11-11 08:13,1.85,17727,United Kingdom
536603,22752,SET 7 BABUSHKA NESTING BOXES,8,2011-02-05 12:38,7.65,15474,United Kingdom
536604,71053,WHITE METAL LANTERN,6,2011-11-09 20:20,3.39,14047,United Kingdom
536605,84029E,RED WOOLLY HOTTIE WHITE HEART,13,2011-07-13 05:57,3.39,14613,United Kingdom
536606,84406B,CREAM CUPID HEARTS COAT HANGER,3,2010-12-30 03:39,2.75,17393,United Kingdom
536607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-04-04 19:57,2.55,17530,United Kingdom
536608,85123A,WHITE HANGING HEART T-LIGHT HOLDER,16,2011-01-02 21:21,2.55,17116,United Kingdom
536609,22632,HAND WARMER RED POLKA DOT,10,2011-04-19 18:45,1.85,14693,United Kingdom
536610,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2011-06-04 09:05,4.25,13291,Australia
536611,84406B,CREAM CUPID HEARTS COAT HANGER,10,2011-03-28 08:33,2.75,18938,United Kingdom
536612,21730,GLASS STAR FROSTED T-LIGHT HOLDER,18,2011-11-21 19:22,4.25,13733,United Kingdom
536613,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-03-26 02:44,4.25,15445,United Kingdom
536614,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-08-21 20:46,2.55,12130,United Kingdom
536615,22633,HAND WARMER UNION JACK,13,2011-11-14 07:59,1.85,17134,United Kingdom
536616,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2011-07-26 16:52,4.25,18585,Australia
536617,84029E,RED WOOLLY HOTTIE WHITE HEART,4,2011-04-22 18:31,3.39,12698,Netherlands
536618,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-02-27 22:50,2.55,17147,United Kingdom
536619,71053,WHITE METAL LANTERN,18,2011-07-01 06:55,3.39,14931,Spain
536620,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2010-12-24 22:04,3.39,17734,United Kingdom
536621,22752,SET 7 BABUSHKA NESTING BOXES,15,2011-11-08 08:27,7.65,13021,United Kingdom
536622,47566,PARTY BUNTING,2,2011-11-12 20:06,4.95,17727,Sweden
536623,84406B,CREAM CUPID HEARTS COAT HANGER,13,2011-07-01 06:55,2.75,12975,United Kingdom
536624,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,2010-12-16 16:44,3.39,18892,United Kingdom
536625,84406B,CREAM CUPID HEARTS COAT HANGER,17,2011-11-21 19:22,2.75,15581,United Kingdom
536626,84029E,RED WOOLLY HOTTIE WHITE HEART,15,2011-10-25 21:32,3.39,13500,United Kingdom
536627,84029E,RED WOOLLY HOTTIE WHITE HEART,3,2011-10-11 16:41,3.39,17791,United Kingdom
536628,71053,WHITE METAL LANTERN,3,2011-06-23 01:35,3.39,14511,United Kingdom
536629,22633,HAND WARMER UNION JACK,14,2010-12-06 05:34,1.85,18242,United Kingdom
536630,71053,WHITE METAL LANTERN,7,2011-09-08 19:20,3.39,17279,France
536631,84406B,CREAM CUPID HEARTS COAT HANGER,14,2011-05-03 05:40,2.75,15171,United Kingdom
